structure_id,bridge_no,latitude,longitude
0011537A,2/10,47.944333,122.0757493
0013077C,2/101,47.77777711,121.492333
0013077D,2/102,47.774916,121.4886386
0013077E,2/103,47.77033266,121.482916
0013077F,2/104,47.75608333,121.4645833
0012746A,2/105,47.75294444,121.4594722
0013391A,2/106,47.74577744,121.4461386
0013391B,2/107,47.74086077,121.4371386
0002228A,2/108,47.73058266,121.4075278
0002228B,2/109,47.72808266,121.4016389
0012050A,2/11,47.93499966,122.0699993
0002228C,2/110,47.72699933,121.3979163
0002228D,2/111,47.72444377,121.394583
0013470A,2/112,47.71930488,121.3870274
0002228F,2/113,47.716666,121.3788604
0002228G,2/114,47.71358333,121.3761104
0002397A,2/115A,47.71033888,121.3609361
0002332A,2/116,47.71416666,121.3419997
0002561A,2/118,47.71202777,121.3229716
0002561B,2/119,47.71202777,121.3131667
0012149A,2/12,47.91574166,122.0718716
0015050A,2/120,47.71602777,121.2525833
0015050B,2/121,47.71713822,121.2424441
0015050C,2/123,47.71758266,121.2249716
0002607A,2/125,47.71505555,121.1945552
0003163A,2/126,47.71180555,121.165
0003163B,2/127,47.71203888,121.1527889
0013565A,2/128,47.71238888,121.1503333
0002719A,2/130N,47.71813822,121.1227493
0012825A,2/130S,47.71802711,121.1226382
0017857A,2/150P,47.74538855,121.0896663
0003386C,2/17,47.88986077,122.0275549
0003386D,2/18,47.88636355,122.0246493
00200340,2/19.25,47.87249933,122.0078889
0016991B,2/1W-S,47.97902988,122.1901386
0017143A,2/202C,47.77419377,121.0130556
0013281A,2/204,47.77355488,120.967916
000000MF,2/207,47.76911044,120.803
0016102A,2/210.25,47.72338266,120.7365663
0016102B,2/211.25,47.71465,120.740133
0016102C,2/211.55,47.71,120.7416663
0018385A,2/211.65,47.703,120.7444191
0018139D,2/211.75,47.69269133,120.7397969
0018139A,2/212,47.68694966,120.7361886
0018139B,2/215,47.67658266,120.7339997
0018139C,2/217.25,47.64037744,120.7200188
0014065A,2/219,47.59855522,120.6513889
0003695A,2/22,47.85727777,121.9614444
0002614A,2/220,47.59419411,120.6403608
0017418A,2/222,47.56236111,120.5987219
0017418B,2/223,47.55877777,120.5925552
0006927A,2/224N,47.55652777,120.5882497
0002614B,2/224S,47.5565,120.5884441
0001212A,2/226N,47.54636077,120.573166
0006927B,2/226S,47.54630522,120.5733327
0003236A,2/227N,47.54255522,120.566916
0006927C,2/227S,47.54249966,120.5669993
0005754B,2/228N,47.53566633,120.5518611
0005754A,2/228S,47.53536911,120.5507611
0005524A,2/233A,47.52572155,120.4706938
0007721A,2/236P,47.48680522,120.4119167
0004136A,2/238,47.46738822,120.338833
0002580A,2/26,47.8606,121.8213077
0010839B,2/260N,47.47230488,120.3251104
0010839A,2/260S,47.47213822,120.3251104
0009683A,2/270,47.47188822,120.3214993
0017536A,2/270P,47.47180488,120.3215549
0009102A,2/275,47.47158266,120.3194716
0004116A,2/28,47.86402777,121.8006667
0007888B,2/2W-N,47.981541,122.1859191
0008085A,2/2W-S,47.98066044,122.1879191
0008085B,2/2W-W,47.98076322,122.1878691
0002649A,2/30,47.86616666,121.7282216
0009683B,2/300,47.47052433,120.3110556
0009683C,2/301,47.47027155,120.3080972
0003598A,2/311,47.62852711,120.2035
0009740A,2/315,47.62055488,120.0041667
0014406A,2/32.25,47.86380833,121.7158861
0001649A,2/35,47.838333,121.6583333
0001706A,2/37,47.83405522,121.6447774
0001706B,2/38,47.821416,121.6138056
0001706C,2/39,47.81452777,121.5973608
0015511A,2/3S,47.978916,122.1850163
0001667A,2/40,47.81245277,121.5787966
0002059A,2/45,47.80230555,121.516
0013077A,2/46,47.78497188,121.4993886
0016276A,2/48,47.78655522,121.5011667
0013077B,2/49,47.788333,121.5
0015511B,2/4S,47.97814933,122.175516
0006473A,2/502,47.70797222,118.9328882
0001758A,2/503,47.71052777,118.9256938
0011151A,2/505,47.73905522,118.843583
0001574A,2/508,47.75772222,118.7006389
0006378A,2/513,47.65383333,118.1517222
0013561A,2/515C,47.65544444,118.1386108
0005802B,2/516,47.65622222,118.1357774
0003622A,2/524,47.66122222,117.8336386
0008378Z,2/5A,47.97858266,122.1735549
0015511E,2/5BP1,47.97814933,122.1741327
0015511F,2/5BP2,47.97653266,122.1736993
0008266B,2/5N,47.980666,122.1843886
0014428A,2/5S,47.978166,122.1741493
0003168A,2/601.25,47.65458333,117.8131111
0003168B,2/602,47.65341944,117.8104889
0002365A,2/604,47.64344411,117.7391941
0002701A,2/606,47.643333,117.7083333
0007317B,2/614N,47.64274133,117.5008972
0007317A,2/614S,47.64259133,117.5010889
0009150B,2/615N,47.64155522,117.4980552
0009150A,2/615S,47.64169411,117.498833
0009150C,2/615W-W,47.64128577,117.5025444
0007317D,2/616N,47.63791633,117.4898886
0007317C,2/616S,47.63777744,117.4899997
0006875B,2/618N,47.63377744,117.4803604
0006875A,2/618S,47.63363855,117.4805549
0013794A,2/644,47.662,117.4111389
0017177D,2/649,47.77469377,117.3737771
0017610G,2/652C,47.77844933,117.3647389
08583900,2/653C,47.82124933,117.3469441
0013812A,2/655,47.82774933,117.3494441
0005405A,2/658N,47.89172188,117.3536111
0013812B,2/658S,47.89174966,117.3530833
0012563A,2/662,47.997083,117.3497219
0015511C,2/6E-S,47.97803266,122.1658
0008378E,2/6N,47.978416,122.1727771
0013995A,2/6S,47.97803266,122.170291
0007923A,2/6S-W,47.97836044,122.1639167
0007923B,2/6W-N,47.97799933,122.1492497
0014428B,2/7A,47.97824933,122.1464441
0013995D,2/7E-E,47.97783266,122.1382497
0013995C,2/7ECD,47.97799933,122.1420274
0007651B,2/7N,47.97733266,122.1371663
0013995B,2/7S,47.97783266,122.1421108
0008176A,2/7W-W,47.97847155,122.1369997
0018286A,2/8.5N-W,47.95938888,122.1218049
0013995E,2/8E-E,47.97799933,122.1373608
0011298A,2/9,47.95463333,122.1146972
0005604A,3/10,47.26463888,123.0116944
0013166C,3/103N,47.52679655,122.7016556
0013166A,3/104,47.52811044,122.6993608
00200319,3/104.25,47.52811044,122.6993608
0005604B,3/11,47.26588888,123.0047222
0009203A,3/114,47.55809722,122.6718327
0009476A,3/116P,47.56405555,122.6779993
0012352A,3/118E,47.56930488,122.684083
0009476B,3/118W,47.56930488,122.6843052
0007883A,3/120,47.58194377,122.6949997
0007883B,3/123E,47.59648577,122.6988386
0007883C,3/123W,47.59642744,122.6990886
0008976A,3/124E,47.60330555,122.7088889
0008976B,3/124W,47.60305555,122.7088333
0009269A,3/126,47.61606666,122.7127333
0009269B,3/128E,47.63672188,122.7071944
0009269C,3/128W,47.63669966,122.7076694
0010729A,3/130E,47.65373888,122.7054694
0009124A,3/130W,47.65373333,122.7058917
0011591A,3/137,47.67855488,122.6915274
0011375A,3/139,47.69384966,122.6875108
0011864B,3/140A,47.70124166,122.6921136
0011375B,3/140E,47.70098055,122.684683
0011375D,3/140N-W,47.70055833,122.684408
0011375C,3/140W,47.70106111,122.6849636
0011375E,3/142,47.72783266,122.6772771
0014276A,3/145,47.75311111,122.6636667
0004133A,3/15,47.37504655,122.8358247
0014066A,3/150E,47.75816666,122.6565
