structure_id,bridge_no,latitude,longitude,pga
0011537A,2/10,47.9443,122.076,0.348757
0013077C,2/101,47.7778,121.492,0.272039
0013077D,2/102,47.7749,121.489,0.271595
0013077E,2/103,47.7703,121.483,0.270912
0013077F,2/104,47.7561,121.465,0.268465
0012746A,2/105,47.7529,121.459,0.267753
0013391A,2/106,47.7458,121.446,0.265871
0013391B,2/107,47.7409,121.437,0.26461
0002228A,2/108,47.7306,121.408,0.260197
0002228B,2/109,47.7281,121.402,0.259279
0012050A,2/11,47.935,122.07,0.350548
0002228C,2/110,47.727,121.398,0.258718
0002228D,2/111,47.7244,121.395,0.258265
0013470A,2/112,47.7193,121.387,0.257226
0002228F,2/113,47.7167,121.379,0.256018
0002228G,2/114,47.7136,121.376,0.255622
0002397A,2/115A,47.7103,121.361,0.253279
0002332A,2/116,47.7142,121.342,0.250313
0002561A,2/118,47.712,121.323,0.247372
0002561B,2/119,47.712,121.313,0.24583
0012149A,2/12,47.9157,122.072,0.356732
0015050A,2/120,47.716,121.253,0.236804
0015050B,2/121,47.7171,121.242,0.235324
0015050C,2/123,47.7176,121.225,0.232748
0002607A,2/125,47.7151,121.195,0.22825
0003163A,2/126,47.7118,121.165,0.224172
0003163B,2/127,47.712,121.153,0.222487
0013565A,2/128,47.7124,121.15,0.22215
0002719A,2/130N,47.7181,121.123,0.218364
0012825A,2/130S,47.718,121.123,0.218347
0017857A,2/150P,47.7454,121.09,0.214168
0003386C,2/17,47.8899,122.028,0.352747
0003386D,2/18,47.8864,122.025,0.353022
00200340,2/19.25,47.8725,122.008,0.352231
0016991B,2/1W-S,47.979,122.19,0.366969
0017143A,2/202C,47.7742,121.013,0.204844
0013281A,2/204,47.7736,120.968,0.199132
000000MF,2/207,47.7691,120.803,0.179086
0016102A,2/210.25,47.7234,120.737,0.171433
0016102B,2/211.25,47.7146,120.74,0.171663
0016102C,2/211.55,47.71,120.742,0.171746
0018385A,2/211.65,47.703,120.744,0.171921
0018139D,2/211.75,47.6927,120.74,0.171283
0018139A,2/212,47.6869,120.736,0.170822
0018139B,2/215,47.6766,120.734,0.170439
0018139C,2/217.25,47.6404,120.72,0.168468
0014065A,2/219,47.5986,120.651,0.1617
0003695A,2/22,47.8573,121.961,0.344404
0002614A,2/220,47.5942,120.64,0.160697
0017418A,2/222,47.5624,120.599,0.156774
0017418B,2/223,47.5588,120.593,0.156298
0006927A,2/224N,47.5565,120.588,0.155971
0002614B,2/224S,47.5565,120.588,0.155984
0001212A,2/226N,47.5464,120.573,0.154803
0006927B,2/226S,47.5463,120.573,0.154814
0003236A,2/227N,47.5426,120.567,0.154322
0006927C,2/227S,47.5425,120.567,0.154327
0005754B,2/228N,47.5357,120.552,0.153194
0005754A,2/228S,47.5354,120.551,0.153114
0005524A,2/233A,47.5257,120.471,0.147602
0007721A,2/236P,47.4868,120.412,0.143644
0004136A,2/238,47.4674,120.339,0.139439
0002580A,2/26,47.8606,121.821,0.315475
0010839B,2/260N,47.4723,120.325,0.138696
0010839A,2/260S,47.4721,120.325,0.138695
0009683A,2/270,47.4719,120.321,0.138493
0017536A,2/270P,47.4718,120.322,0.138496
0009102A,2/275,47.4716,120.319,0.138378
0004116A,2/28,47.864,121.801,0.311375
0007888B,2/2W-N,47.9815,122.186,0.364986
0008085A,2/2W-S,47.9807,122.188,0.365818
0008085B,2/2W-W,47.9808,122.188,0.365769
0002649A,2/30,47.8662,121.728,0.300367
0009683B,2/300,47.4705,120.311,0.137904
0009683C,2/301,47.4703,120.308,0.137738
0003598A,2/311,47.6285,120.204,0.134296
0009740A,2/315,47.6206,120.004,0.126877
0014406A,2/32.25,47.8638,121.716,0.298739
0001649A,2/35,47.8383,121.658,0.292822
0001706A,2/37,47.8341,121.645,0.2912
0001706B,2/38,47.8214,121.614,0.287896
0001706C,2/39,47.8145,121.597,0.285986
0015511A,2/3S,47.9789,122.185,0.365664
0001667A,2/40,47.8125,121.579,0.283425
0002059A,2/45,47.8023,121.516,0.274693
0013077A,2/46,47.785,121.499,0.272826
0016276A,2/48,47.7866,121.501,0.273048
0013077B,2/49,47.7883,121.5,0.272797
0015511B,2/4S,47.9781,122.176,0.363438
0006473A,2/502,47.708,118.933,0.10134
0001758A,2/503,47.7105,118.926,0.101164
0011151A,2/505,47.7391,118.844,0.0991653
0001574A,2/508,47.7577,118.701,0.0954449
0006378A,2/513,47.6538,118.152,0.0850679
0013561A,2/515C,47.6554,118.139,0.0849313
0005802B,2/516,47.6562,118.136,0.0849027
